symbol,shares,avg_price,entry_date,currency,market,notes
AAPL,19,276.61,2025-11-01,USD,US,core tech
BND,34,74.51,2025-11-01,USD,US,bond ETF
SCHH,12,21.53,2025-11-01,USD,US,REIT ETF
VOO,13,596.72,2025-11-01,USD,US,core market ETF
QQQ,8,579.78,2025-11-01,USD,US,tech ETF
XLV,36,137.89,2025-11-01,USD,US,healthcare ETF
VXUS,35,72.45,2025-11-01,USD,US,international ETF
GOOGL,20,323.90,2025-11-01,USD,US,core tech
CPRN,30,30.30,2025-12-08,USD,US,speculative
9988.HK,100,163.36,2025-11-01,HKD,HK,china internet
1810.HK,600,42.25,2025-11-01,HKD,HK,xiaomi
2600.HK,2000,11.57,2025-11-01,HKD,HK,shipping
1347.HK,1000,74.04,2025-11-01,HKD,HK,semiconductor
1635.HK,6000,4.08,2025-11-01,HKD,HK,small cap
